,Property_keywords,bedrooms,bathrooms,area,prices,locations,property_types,Latitude,Longitude
0,Newly Furnished | Modern Amenities | Family-Oriented,Studio,1,405 sqft,"3,999","Carson Tower C, Carson - The Drive, DAMAC Hills, Dubai",Apartment,25.0254132,55.24445960000001
1,AMAZING STUDIO IN JVC || WELL FURNISHED || GRAB NOW,Studio,1,457 sqft,"3,199","Plazzo Heights, JVC District 10, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0650236,55.2085523
2,FULLY FURNISHED STUDIO || CLASSY INTERIOR || CALL US NOW,Studio,1,425 sqft,"3,499","Plazzo Heights, JVC District 10, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0650236,55.2085523
3,SPACIOUS & LUXURIOUS/ HIGH QUALITY FURNISHER/HUGE BALCONY/WIFI.,1,2,993 sqft,"5,999","Pantheon Boulevard, JVC District 13, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0505375,55.2140195
4,MOST ELAGENT STUDIO IN JVC || COMPLETLY FURNISHED || CONTACT US NOW,Studio,1,399 sqft,"3,299","Plazzo Heights, JVC District 10, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0650236,55.2085523
5,AMAZING STUDIO || FULLY FURNISHED || CALL US NOW,Studio,1,373 sqft,"3,499","Laya Mansion, JVC District 15, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0559406,55.2011756
6,Spacious  Luxury Apartment in Bluewater Island | Utilities Included,1,2,"1,118 sqft","16,500","Apartment Building 5, Bluewaters Residences, Bluewaters Island, Dubai",Apartment,25.0792222,55.11966839999999
7,FREE TICKETS SUMMER SALE:  Sophisticated 2BR in Dubai Marina,2,2,"1,461 sqft","9,800","Al Sahab Tower 2, Al Sahab Tower, Dubai Marina, Dubai",Apartment,25.075969,55.135692
8,Stylish Studio | Modern Amenities | Convenient Location,Studio,1,464 sqft,"3,499","Divine Residences, Arjan, Dubai",Apartment,25.0656864,55.2484337
9,FULLY FURNISHED 1BHK + MAID  || AMAZING LAYOUT || CALL US NOW,1,1,886 sqft,"4,899","Laya Mansion, JVC District 15, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0559406,55.2011756
10,Free Cleaning | No Commission | Marina View,1,2,856 sqft,"12,999","Jumeirah Gate Tower 1, The Address Residences Jumeirah Resort and Spa, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0769441,55.1341346
11,Summer Promotion | Specious  Studio | Health Club | Eagle Heights,Studio,1,422 sqft,"3,499","Eagle Heights, Dubai Sports City, Dubai",Apartment,25.0365874,55.2209596
12,Bird's view studio in The Palm Tower,Studio,1,523 sqft,"8,500","The Palm Tower, Palm Jumeirah, Dubai",Apartment,25.1137853,55.1399566
13,View of Downtown Skyscrapers | Relaxing | Modern,1,2,809 sqft,"7,500","Elite Downtown Residence, Downtown Dubai, Dubai",Apartment,25.1860802,55.2783379
14,Limited Time Offer | Modern Amenities | Burj Al Arab View,1,2,808 sqft,"8,500","Rahaal Building 2, Rahaal, Madinat Jumeirah Living, Umm Suqeim, Dubai",Apartment,25.1353776,55.1893765
