Property_keywords,bedrooms,bathrooms,area,prices,locations,property_types,Latitude,Longitude
Near Public Beach | Jbr Apartment | Near Tram,1,1,705 sqft,10000,"2020 Marquis, Arjan, Dubai",Apartment,25.0651757,55.2349469
Elegant 2-Bedroom Retreat With Stunning Marina Views | Prime Location | Great Amenities,1,1,574 sqft,10000,"Mayfair Tower, Business Bay, Dubai",Apartment,25.1817419,55.278155
Hotel Apartment! Studio With Kitchenette /  All Bills Included / Free Cleaning,2,2,"1,250 sqft",10000,"Al Barsha City Tower, Al Barsha 1, Al Barsha, Dubai",Apartment,25.1098164,55.2035922
Summer Limited Offer | Modern Amenities | Convenient Location,1,1,790 sqft,10000,"Bloom Tower A, Bloom Towers, JVC District 10, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0666071,55.202942
104 Roma (Decent Studio),1,1,549 sqft,10000,"MD Hotel, Al Barsha 1, Al Barsha, Dubai",Hotel Apartment,25.1135232,55.19135739999999
Spacious And Bright 1Br In Jvc!,Studio,1,718 sqft,10000,"J One, Business Bay, Dubai",Apartment,25.1861077,55.2833631
Sophisticated 2Br At 52|42 Tower 1 Dubai Marina By Deluxe Holiday Homes,2,3,"1,257 sqft",10000,"Lago Vista C, Lago Vista, Dubai Production City (IMPZ), Dubai",Apartment,25.0353318,55.2015639
Golf View | Minimalist Studio | Serene Community,1,1,714 sqft,10000,"Centrium Tower 4, Centrium Towers, Dubai Production City (IMPZ), Dubai",Apartment,25.0393043,55.1937226
"Studio Apartment In A Barsha With All Bills, Taxes And Cleaning",Studio,1,441 sqft,10000,"Radisson RED Hotel, Dubai Silicon Oasis (DSO), Dubai",Hotel Apartment,25.119046,55.3798581
Cosy Studio Unit @ Damac Canal Views –Business Bay,1,1,471 sqft,10000,"Reva Residences, Business Bay, Dubai",Apartment,25.187815,55.2833201
"Executive One Bedroom Apartment Near Circle Mall With All Bills, Wifi, Cleaning And Parking",Studio,1,373 sqft,10000,"Marina Diamond 1, Marina Diamonds, Dubai Marina, Dubai",Apartment,25.0799116,55.14468480000001
Dubai Eye View | Deluxe Stay | Bright Unit,Studio,1,357 sqft,10000,"DAMAC Maison Canal Views, Business Bay, Dubai",Apartment,25.1876878,55.28390479999999
Dubai Mall Access | Spacious Furnished Studio Apt | Balcony,Studio,1,445 sqft,10000,"Bay Central West, Bay Central, Dubai Marina, Dubai",Apartment,25.0786645,55.1375328
Grand Type 1Br | Top Floor | Dubai Canal View!,1,1,780 sqft,10000,"Pantheon Elysee I, JVC District 13, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0514786,55.20782029999999
Burj Khalifa  & Canal Facing | Luxurious 2 Bedroom Apartment,1,1,434 sqft,10000,"Golf Vita A, Golf Vita, DAMAC Hills, Dubai",Apartment,25.0228736,55.2427461
Lovely 1 Br In Damac Paramount By Livbnb,1,2,957 sqft,10000,"Pantheon Elysee I, JVC District 13, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0514786,55.20782029999999
Burj Khalifa  & Canal Facing | Luxurious 2 Bedroom Apartment,1,1,434 sqft,10000,"Golf Vita A, Golf Vita, DAMAC Hills, Dubai",Apartment,25.0228736,55.2427461
Modern Furnished | Best Amenities | Family-Oriented,Studio,1,490 sqft,10000,"Al Thayyal 3, Al Thayyal, The Greens, Dubai",Apartment,25.0908702,55.1736972
Well Furnished Studio || Amazing Interiors || Contact Us Now !!!,1,2,650 sqft,10000,"Afnan 4, Afnan District, Midtown, Dubai Production City (IMPZ), Dubai",Apartment,25.0285128,55.1800715
Luxurious 2Br In Downtown Dubai - Burj Khalifa View,1,1,424 sqft,10000,"Golf Vita A, Golf Vita, DAMAC Hills, Dubai",Apartment,25.0228736,55.2427461
Stylish Studio In Business Bay,Studio,1,408 sqft,10000,"Bayz by Danube, Business Bay, Dubai",Apartment,25.1808454,55.2792744
Specious Fully Furnished One Bedroom Flat,1,2,"1,007 sqft",10000,"Mirdif Hills, Mirdif, Dubai",Apartment,25.2245552,55.4412063
Best Winter Flash Sale !! Lavish | Studio Apt | I All  In | Free Cleaning,1,1,500 sqft,10000,"Reva Residences, Business Bay, Dubai",Apartment,25.187815,55.2833201
No Commission - One Bedroom Apartment,1,1,484 sqft,10000,"Discovery Gardens, Dubai",Apartment,25.0390117,55.1444815
Idyllic 1Br At Sunrise Bay Tower 1 Emaar Beachfront Dubai Marina By Deluxe Holiday Homes,Studio,1,370 sqft,10000,"Al Jawhara Residences, JVT District 2, Jumeirah Village Triangle (JVT), Dubai",Apartment,25.0363617,55.17696919999999
Spacious 2 Bedroom Apartment With Balcony I Utility Bill Included I Free Pool & Gym Access I Free Car Parking I Near American Hospital I No Commission,1,1,441 sqft,10000,"Radisson RED Hotel, Dubai Silicon Oasis (DSO), Dubai",Hotel Apartment,25.119046,55.3798581
Modern Studio In Arezzon-01 Jvc With Stunning Views!,1,2,545 sqft,10000,"Bayz by Danube, Business Bay, Dubai",Apartment,25.1808454,55.2792744
Fully Furnished | Hurry Up! Book Today | Best Deal,Studio,1,409 sqft,10000,"Jannah Place Dubai Marina, Dubai Marina, Dubai",Hotel Apartment,25.0697814,55.13279
Trending And Cozy 2Bhk | Fully Furnished | Free Wifi/Dewa,2,3,"1,042 sqft",10000,"Pantheon Elysee I, JVC District 13, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0514786,55.20782029999999
Sophisticated 3Br W/ Assistant’S Room At Al Fattan Marine Towers 2 Jbr By Deluxe Holiday Homes,Studio,1,460 sqft,10000,"Business Bay, Dubai",Apartment,25.1831647,55.272887
Luxurious 2Br In Downtown Dubai - Burj Khalifa View,1,1,424 sqft,10000,"Golf Vita A, Golf Vita, DAMAC Hills, Dubai",Apartment,25.0228736,55.2427461
Lovely Jvc View | Spacious Unit | Tranquil,Studio,1,410 sqft,10000,"Jannah Place Dubai Marina, Dubai Marina, Dubai",Hotel Apartment,25.0697814,55.13279
Luxury 1 Bedroom | Sea View & Infinity Pool,Studio,1,355 sqft,10000,"Studio One Tower, Dubai Marina, Dubai",Apartment,25.0691036,55.1289728
Gorgeous Sea View Apartment In Bluewaters,1,2,743 sqft,10000,"Dubailand, Dubai",Hotel Apartment,25.261869,55.315563
No Commission | All Inclusive | Cozy Studio Apartment For Rent | Dubai Sports City,Studio,1,457 sqft,10000,"DAMAC Maison Prive, Business Bay, Dubai",Apartment,25.1843104,55.2755156
Large 1Bhk | Serviced Apartment | Fully Furnished | In Jvc,Studio,1,541 sqft,10000,"DAMAC Maison, Downtown Dubai, Dubai",Apartment,25.195023,55.2835529
"Fairmont | 2 Bedroom | Free Beach, Pools, Gym",1,2,780 sqft,10000,"Dubai Marina, Dubai",Apartment,25.0805422,55.1403426
